sentiment	numberagreed	tweetid	tweet
positive	3	2515511	Happy that Snell came by the office for a visit. xo
positive	3	589817	I found out today that @user has a nintendo 64 and it made me really excited :)
negative	3	2724432	full of snot...where has all this mucus come from?!?!? Seriously this can't be normal
neutral	3	1473322	''After all this time?'' ''Always'' said snape.
neutral	3	1247829	Nintendo 3DS Madden NFL Football Bundle – Black: No ratings available.   Product Features: Nintendo 3DS in black... ~http 
neutral	3	1858480	Last nyt.. #nufSED
neutral	3	1892877	A piece of history at the Nixon Library is an emotional 9/11 tribute: A few months after the 9/11 attacks; Alan... ~http
neutral	3	154736	[WATCH] adidas Originals – All Originals; Iconics Commercial 2011 [VIDEO]  ~http  via @user
neutral	3	2621983	Check out the book from @user The Fourth Greenwich Annuale ~http 
neutral	3	3012056	Did you know that Microsoft invested $8.2 billion in R&D in 2008?
neutral	3	1191765	I just completed the AB BURNER workout with Nike Training Club. Join the club ~http 
neutral	3	2277076	New post is up! Microsoft vs. Apple: The History of Computing ~http  #geek #infographic
neutral	3	155054	New blog post: ~http  - Live Webcast: Microsoft Dynamics Sure Step 2010 – Step Up Now!
neutral	3	2287559	Check out Microsoft at BETT this week - discussing all forms of education technology and the latest government Home Access initiative!
neutral	3	1987285	District "A" Redistricting Meeting * Thursday; May 12 * 6:00.pm
neutral	3	2167571	19. #20peopleidmarry @user
neutral	3	2820890	In NOLA for the weekend!  See ya at Pat Os!!!
neutral	3	2074809	TV/Gaming: Sony HMZ-T1 3D Home Theater ~http 
neutral	3	1598846	#MajorLifeStyle : The New #Incredible & Your New #LifeStyle
neutral	3	2334611	Is Nike Unveiling Self-Lacing “Marty McFly” Shoes? [VIDEO] ~http  #fb
positive	3	681282	Here's a great look into @user's "Music in Print" photo exhibit; ft. shots from the last decade of Bluesfest! ~http 
neutral	3	1694468	Top quality example of what viral campaigns can do for charities and businesses. Nike MAG Goes Viral - ~http  via @user
neutral	3	2494618	#FF [[ATR]] [[ROMANIAN COVEN]] @user @user ~http 
neutral	3	2536508	“@crookedtongues: Crooked Tongues & Nike Sportswear present(ed) the CT BBQ 2011 ~http  @user check you...
neutral	3	2196360	I just updated my Squidoo page: PlayStation 3 vs Xbox 360 vs Nintendo Wii / ~http 
neutral	3	1748948	what will it be?? The iPhone 4 or the Samsung Galaxy S2?
negative	3	1360735	just lost #thegame. Thanks @user ~http 
neutral	3	313959	watching always sunny in philadelphia in solitude
neutral	3	756581	UAE attracted over $75bn in FDI ~http 
neutral	3	1832878	~ Microsoft - Skype...done deal!  ~http  I wonder if Skype will continue to be Linux friendly?
positive	3	2668803	voted more than 100 times for both @user and @user! can't wait for 7 mins!:)
neutral	3	216446	Need a recap of LJFFF? Erna Adelson has the scoop!... ~http 
positive	3	2287180	I love watching him kick ass!
neutral	3	3160694	Apply for a design time session at the SharePoint Conference 2011: Microsoft are offering an hour long design ti... ~http 
neutral	3	830587	Protective Decal Skin STICKER for SONY VAIO EA Series with 14 inch Screen Case Cover VaioEA-Ltop2PS-88: PLEASE ... ~http 
neutral	3	1343387	I wonder how many emails were sent to Nike connects begging for the #McFly hookup? Lmao...
neutral	3	1139301	Photoset: like-jellytots: ~http
neutral	3	761085	Help Cameron Jones win the Lowe's Senior CLASS Award! ~http  #lowessca
neutral	3	566737	Any tips on saving samsung galaxy battery?#captivate
negative	3	801136	Fuckin w this ol weak ass fin aid....
positive	3	34857	Gotta admit I like hangin wit cuz!!
neutral	3	2321320	What the new Nintendo 3DS looks like in 3D ~http 
neutral	3	191734	Tier Zero Nike Dunk X Questlove (415924-601) & (434245-700) ~http
neutral	3	1495812	Check out my photo from  Samsung Keith Urban ~http 
neutral	3	10674	Gonna leave it at that. Now its your turn.
neutral	3	2189506	New post: Microsoft Strikes Deal For Timed Exclusive Skyrim DLC ~http 
negative	3	1863942	im sick of you and your sweet talking.. =.=
neutral	3	2322931	Breaking down Microsoft and Yahoo's search deal - CNET News: ~http 
positive	3	2784311	Dads wedding today at the hilton house hotel can't wait ;) &lt;3
positive	3	2085543	The energy here is intense!!!! Let's do this #riders !!!!!! #cfl #DestroySwaggerville
positive	3	985950	Silent Library; you make me laugh and feel smart.
neutral	3	90100	Check out our latest Microsoft job posting for a Solution Architect - Singapore:  ~http
positive	3	515617	Time to have my twenty-first girl get courted by some thirteenth century Highlanders... Damn. I love writing.
positive	3	2245121	Haaha omg im wachin ridiculousness this shit is hella funny
neutral	3	789668	has made the last run for non-perishables and snacks (junk). A few minor indoor preparations yet before tonight. Stay safe everyone. #Irene
negative	3	1313692	last week of school...im so tired.
negative	3	722200	What is wrong with my Etsy shop.  Can't get in there.
neutral	3	1218533	MENS GUCCI S/S 2010 - SLEEK; CONTEMP; AND GORGE: ~http
positive	3	824784	Happy 3rd Birthday to my darling little sister; Samantha &lt;33
neutral	3	1099667	Philippines massacre: police charge local politician with murder . from CNN News ~ #Philippines #HumanRights
negative	3	32704	Paris Hilton got 1 million dollars to party in Cannes?? This is sick; hello LONDON are you there?
neutral	3	2723646	3 cars in our whole complex. Mine; @user; and a big ass truck. Come back to AC!  Dont be #scurred!
negative	3	1864052	This would be why I'm moving. I can't even look or talk to you anymore. I cannot stand you...
neutral	3	789646	Costco summary description for Droid Bionic says Samsung Media Hub and Android 2.2 ~http  @user @user #Droid
neutral	3	1485518	How to Fix Your Sony Cyber-shot DSC-T200 ~http 
neutral	3	2361061	Maplewood's Hilton library manager leaves to direct Glen Rock: The Hilton Branch library in Maplewood needs a ne... ~http 
negative	3	2689463	why on earth did they make this movie? never watch legally blondes. it is so dumb.
neutral	3	2758177	Any feedback on Infor's partnership with Microsoft for next-gen Enterprise Application foundation?
neutral	3	1579829	The best price we were able to negotiate for 3G handset is around $100 for Sony Ericsson
neutral	3	2244924	Hey guys; heads up! ThinkOptics; LLC Sues Nintendo over WiiMote: By Joshua Moore California-based ThinkOpt... ~http  Mandy
neutral	3	2962041	Discounts on Big Kids Obsidian & White Dri-Fit Waffle Half-Zip Jacket by Nike Kids ~http
neutral	3	2421812	$11.52 (11% off) Sony MDR-ZX100 Stereo Headphones at ANTOnline ~http 
positive	3	763436	MICROSOFT WINS FOR HAVING ICE T AT THE CONFERENCE.  ALL IS FORGIVEN.
neutral	3	1596036	#greatcombos Chicken and Waffles ~http 
neutral	3	1346788	Ladies Shoe - Kentucky Wildcats Women's Nike White Football Replica Tee Small. Read it now at ~http 
neutral	3	296079	School in a couple ahh hours
positive	3	1304275	I'm going to sleep so good tonight! Nightttttt&lt;3
neutral	3	316002	Practice Monday at Stable at 5:30
neutral	3	1398513	Foot Locker & Nike donnent la leçon ~http  #ladycapricemag #nike #footlocker #commercial
neutral	3	2706773	#nowplaying...Remeber When - Gucci ft Ray J
neutral	3	2363665	Free Facebook Desktop App from Microsoft Uses Silverlight.. in beta now ~http 
neutral	3	43181	Re calculating re calculating
negative	3	543000	Went to gamestop and the employee there tells me they received posters from b members about another sony hack? Really? So stupid dumb kids
positive	3	2913458	God I love fashion... I was definitely Coco Chanel in a previous life. I got Gucci taste on a Baby Phat budget.
neutral	3	179369	Epicor Announces Support for SQL Server Code Name “Denali” at the Microsoft Worldwide Partner Conference. ~http
neutral	3	90812	Software New: Microsoft Word 2007: Shortcuts with Macros ~http
neutral	3	132471	Computerworld Malaysia Honours the Vendors Who Care the Most: Record no of awards for Microsoft ~http
neutral	3	2231823	Waiting in line for Harry Potter.
neutral	3	785842	Splash #travel #aapic   @ Saint Maarten ~http 
neutral	3	250546	Hey!  Check out our new video for the Jimmy Wong contest!  ~http 
neutral	3	1217331	Here's the adidas virtual footwear wall I was working on a few months ago ~http  #adidas #judgegill #intel #retail
neutral	3	2063373	Tweet! Tweet!x
neutral	3	89110	See how Microsoft is dedicated to creating technology that can improve education all over the world: ~http
negative	3	1527152	WTF was that; bella would never leave edward like that#fuckyousummit
positive	3	1815361	I want to wish Samuel Antonio Lucas a very happy 14th birthday! :)
negative	3	2650802	If you are 60 please don't rock you collar up and spike your hair... Not the best look...
neutral	3	1378009	Alway gucci boyyyyyyyyy
neutral	3	400239	#DidYouKnow? Hors d’oeuvre literally means “outside the creation.” ~http  @user
negative	3	414314	Whelp; to continue on my rant of how Nintendo sucks; they just told us that all 3DS systems will be going to big box retailers. No indies.
neutral	3	2229360	Michael Jackson’s “This Is It” To Be Presented In Theaters By Sony Pictures & Sony Music | The... ~http 
neutral	3	2767864	This business man gave his Audi R8 to a bunch of car guards! Check out the video I took outside my office: ~http 
neutral	3	447017	Kingsley Aikins & Pascal Derrien of Microsoft explain the goals & benefits of the @user Summit on 15th Sep; ~http
neutral	3	2321656	I'm southdallasswaggin at work right now to this new gucci mane
neutral	3	3045074	Fresh on nike shoes: CHICAGO WHITESOX BOSTON REDSOX HATS NEW ERA
neutral	3	2305615	Keeping up with social media  - Microsoft brings Zune and social networks to Xbox! ~http 
positive	3	2442536	Tears tears tears tears tears and even more tears...Im so HAPPY! Latonya
neutral	3	1426332	It's quiet at my job; the phones aren't ringing hmmmmm!!!! Entertain me!!
neutral	3	1443122	DoubleTree by Hilton Lincoln Hotel; has made the first appointments to its senior management team ~http 
negative	3	480322	I hate the new Microsoft word...
negative	3	1482782	So glad Sony chose FedEx for my return shipping instead of UPS. Now; instead of an 8 minute trip; I get to make an hour and a half trip.
neutral	3	2905263	New 3.6V 1200mAh Battery Pack For Sony PSP 2000  sony psp ~http  :O
neutral	3	1647311	Me 2 RT @user I think I wanna see #theHELP
negative	3	1312154	the last place i want to be right now when i feel like shit is theatre class.. #IWantMyBed
neutral	3	1048469	ppt on facebook? RT @user Facebook introduces Docs; based on Microsoft Web Office ~http 
neutral	3	363239	I think I'm sitting next to Greg Proops on the train. I need to be sure. Where's Ryan Stiles when you need him? #who's(blue)lineisitanyway?
neutral	3	3320447	Win a Red Nintendo Wii Bundle! @user ~http 
neutral	3	1785775	Internet Marketing Tips: Finding The Best Online Business ~http 
negative	3	2011824	Feeling lower than low. Why can i never keep a relationship past 3 months?
neutral	3	1732495	Write-up at Vino Pronto ~http
neutral	3	96924	THE "SHOE"SEUM! - CHECK OUT THIS MUSEUM OF BASICALLY EVERY NIKE SNEAKER ~http 
negative	3	298257	Perez hilton is fucking annoying. Shut up. We all know your gay. Stop siding with girls. Jesus Christ
neutral	3	2357649	Elliot to colorado adds fuel to the fire that andersson possibly coming to TO from a rumour today
neutral	3	675031	Just chillin at the Hilton Roof top...
neutral	3	1667809	Second night in a row iv woken up at exactly 4:10. Not sure I understand.
neutral	3	1168522	The Dogs of War: Apple vs. Google vs. Microsoft ~http  #google #apple
positive	3	227520	Can't wait to show again this week!!
neutral	3	463525	“@myfabolouslife: If he always start a argument & yall stop speakin around Christmas; ur birthday; or (cont) ~http 
neutral	3	1016378	The flawless weave of our new Sony Vaio Z case made with 5 layers of carbon fiber on the exterior and a custom... ~http 
neutral	3	1862978	Canon Clinging to Mirrors Means Opportunity for Sony Cameras - Bloomberg ~http  via @user
neutral	3	2255070	It feels like a snow day in September
positive	3	2251199	#greatestgadgets My Samsung netbook for it's battery life and my pifco headlamp for it's brilliance.
neutral	3	443378	Minibus and Coach hire London; 8-24 Seat Shuttle Bus People carriers; 16; 24; 29; 35; 58 or 53 seaters ~http
neutral	3	3364997	Good Morning! Reminder; Frank Miller Panel at 2:00p in the Indigo Ballroom at the Hilton Bayfront It's gonna be packed.
neutral	3	128311	Local unemployed single mom makes $480/h. working online. check out ~http 
negative	3	1849087	“@BayliDonaldson: Disappointed in the Nike outlet still...”
neutral	3	2759056	Contests to Digg user @user for using Microsoft tag for their web site
positive	3	2553846	lmao how did it go from Jedward spamming Aaron to him waiting for them to call him?! Jedward fans are amazing!
positive	3	2627275	Am at the VIP Microsoft party with @user in cologne. Xbox kinect is amazing!    ~http 
positive	3	1795113	Club Nintendo Reversible pouch is rather nice; might get a red one too.
neutral	3	2074808	TV/Gaming: Sony HMZ-T1 3D Home Theater: ~http 
neutral	3	583258	LPGA TOUR LIVE ...: LAS VEGAS HILTON RELEASES ODDS; MAKES TSENG 2011 U... ~http 
negative	3	602480	My baby mama must have lost her mind thinking I'm about to buy my son some Gucci glasses!!
neutral	3	507681	Check this video out -- French Montana Ft. Rick Ross; Wiz Khalifa; Gucci Mane & Waka Flocka Flam... ~http  via @user
positive	3	2183353	Hope you all had a great TG! we are taking petsitting reservations for all your holiday needs so please call and book soon :)
neutral	3	106950	Watch this video to get a glimpse into the life of Ahmed; a Palestinian refugee living in the Burj el-Barajneh... ~http 
neutral	3	2289216	I'm selling my Samsung Vibrant Galaxy S... Hit me up for price!
neutral	3	1043607	I Think Its The Blue Undefeated Camo Crew Nike Sb's To Match.....
positive	3	2645667	At the taste of orland just ate a yummy dessert cup!!!! It was chocolate cake strawberries bananas vanilla pudding and whip cream #yum
neutral	3	1279207	Amazed this Bartoli chick doesn't hit her serve double handed #Wimbledon
positive	3	645975	Thanks.All people on my timeline are joyous.
positive	3	721963	Just picked up the samsung galaxy it's pretty damn cool
positive	3	1829945	Good Morning; I'm having a good day so far. Missing my honey bun Mike but I will see him later.
neutral	3	317926	Ooooh.. I wonder if Ernests is going to the Adidas party tonight?
negative	3	1663652	thinking of winter in atlantic canada.. not fun
positive	3	1986676	Calling all students... The Sony Centre have some great offers to help you prepare for a new year at colleg… (cont) ~http 
neutral	3	89624	Have you seen? Microsoft Advertising Video Insights on Bing - check it out and let us know what you think! ~http
negative	3	509717	Wonders what kind of United fan says 'Man U'? Learn the history of the club and stop that shit!
positive	3	1303014	I feel like Mark Zuckerberg @user watching these numbers grow on the MinuteClinic Facebook page! Free body wash: ~http 
positive	3	2246238	Nice job today at the RISF Northeast Invitational at Icahn Stadium. Alexandre Ciric debuts in the 2k steeple with... ~http
positive	3	2591803	Proud to be Scottish right now!
neutral	3	633278	Flying out?  2 t-shirts for £20; including Nike; Adidas and Puma; at JD Sports; after security in the departure lounge; lower level.
neutral	3	1410540	I really just wanna hear Racks... Right now... I don't even need the whole song
neutral	3	483170	HIGH AVAILABILITY SOLUTION IN Microsoft Exchange 2010 ~http 
neutral	3	1064987	At the market and getting things ready for dinner.  My children are busy with their lives - so it's dinner for one tonight...
neutral	3	191855	Nike Tec Tuff Air Force 1 Deep Burgundy (315122-605): The Nike Air Force 1 Deep Burgundy (315122-605) shoe was c... ~http
neutral	3	1308398	Shorty mad cause I wasn't finna close tha door yeah I'm #petty
positive	3	2253989	Waaaaaayyyy to pretty outside to be inside studying..... so I'm not! #sundayfunday
neutral	3	976805	Free gucci enuff said
neutral	3	47736	Its taco time! Mix and match our fillings; toppings and sauces for some great new tacos. ~http 
positive	3	2313215	Had fun last night...like good old times!
positive	3	536014	I'm feeling happy now ;)
positive	3	1160406	Thank you to the lovely diners we had in over the weekend! You all made our night memorable; can't wait to see you all back again soon!
neutral	3	220361	The next version of Microsoft Assessment & Planning (MAP) Toolkit—version 6.0—now available for download: ~http
neutral	3	18783	Learn the Right Way to Burn Xbox 360 Video Games – Protect Your Collection: The Microsoft folks have really chan... ~http
negative	3	1487686	It's a shame all my devices need passwords. I remember when it was impossible to lock a phone.
neutral	3	117291	balackberry and samsung cell phone chargers ( Kawartha Lakes ) $14.00 ~http
positive	3	796672	Shutter Island is a great noir film with an awesome cast of character actors. Loved it.
negative	3	2264800	Yikes weezy killed this gucci gucci freestyle. I mean in a bad way #coverseyes
negative	3	1781153	Plzzzzz stop talking; ur boring me
positive	3	1531168	Surprise Bday party for @user awww you thought we weren't gonna do anything for you day hehehe #sucker!
neutral	3	483174	Is Microsoft Sql Server 2008 R2 For You? ~http 
neutral	3	2344475	The New Audi S7...Still no secret check it out! ~http
negative	3	1405245	At six flags; not excited for roller coasters...
positive	3	1976263	Happy birthday to my bestfriend ryach  iLove you (: 
neutral	3	2831452	Time to have a batttthhhhh
neutral	3	2353800	Now Microsoft Dynamics CRM users can plot Opportunities. Check it out ~http 
neutral	3	1520321	on the computer.
negative	3	252852	Just kill me now.
neutral	3	2212859	Lanmark are recruiting; we want talented technical staff with plenty of Microsoft experience - contact us on recruit@lanmark.co.uk
positive	3	609920	Just saw an Audi r8 my day is made #dreamcar
positive	3	739948	Got some awesome new mechanical pencils and Sharpies. Bring it; school.
neutral	3	1087382	UK bans R4 cards; makes Nintendo DS pirating 'double illegal' ~http 
neutral	3	2339475	August 9th is the release date for my @user remix .. 'Best Thing I Never Had (Lars Behrenroth Club Mix) dropping on @user via Sony Rec
negative	3	1590054	That awkward moment when you're making potatoes and u forget about them; so the water overflows and your dad doesn't come home so ur screwed
positive	3	543004	Just got Halo 2 at #goodwill for 3 dollars. Just one more reason on a pile of others to shop at goodwill
neutral	3	245838	Voted today in the Best of Montgomery Media contest?  Visit MontgomeryTVandRadio.com
neutral	3	3045037	Fresh on nike shoes: How to Wear DC Hats136
neutral	3	2422372	online social media marketing tips ~http
neutral	3	2061771	New Sony Technology --- thinnest watch / tv! ~http  via @user
neutral	3	1191771	I just completed the ARM DEFINER workout with Nike Training Club. Join the club ~http 
neutral	3	1901718	Lahaina.com: Banyan Tree's 138th Birthday! ~http  #lahaina
neutral	3	652167	trick or treat for unicef tomorrow night. meet @ the union @ 6.
neutral	3	2846283	if you find yourself at a fork in the road; just ask yourself; what would jesus do #wwjd
neutral	3	2386667	playing battlefield bc2 campaign ~http 
neutral	3	230796	Prayers for the people who were actually affected by Hurricane Irene
neutral	3	55916	Looking for a Microsoft Dynamics SL Professional for a New jersey based Company
positive	3	2511078	We're GEARED up!  Thanks to Adidas for sponsoring the football camp T-shirts this year! All appreciated... ~http 
negative	3	1201353	watching a movie with really bad acting. #whyy
positive	3	1399057	Now packing for Baltimore.....What should I see?  Hoping for divine direction at this adult weight mgmt training.  For me and my pts! :o)
neutral	3	298548	We'll see if Nintendo surprises us all this year. God I hope so. #poorwii
neutral	3	1450896	Headed over to #IIDA Career Bootcamp on the 14th floor of the Holiday Inn Mart Plaza at #NeoCon11. Hope to see you at 11:30am with @user
neutral	3	132470	Microsoft Milking The Cloud Contest moves into Round 3; some Bing goodness ~http
na	3	2136397	Ngicela i ice emanzi; hai black people kodwa lol #fb
neutral	3	1102296	By 2015; purchases made on mobile phones will total $119 billion! See the future by viewing this infographic! :-) ~http  #ad
negative	3	1303105	Saw someone running in Nike Shox at the gym this a.m....people still run in those?!  #WorstShoesEver
positive	3	2689002	Love; love; love @user!!!!!!
neutral	3	720713	Any suggestions on how I can get  More followers!?? Anybody???
negative	3	1827176	this samsung android is ruining my life!!!!!
positive	3	481074	I'm excited for the VMA's tonight
positive	3	1758278	"@NCAAsoftball: Ducks or Gators? #wcws" go ducks!
neutral	3	568489	just joined a video chat with 36 other people at ~http  #tinychat
neutral	3	1632901	IT Security Audit by Microsoft : ~http 
neutral	3	1934915	I'm not romeo I'm gucci hoe; tryna bend you over @user
neutral	3	3453464	Checking in then off to shoot (@ Hilton Knoxville Airport) ~http 
negative	3	816246	"the goal of the obama machine is the destruction of our cultural identity; our civilization; and its founding religious principles."
neutral	3	550125	Lowcountry Music {Trevor Hall}: Trevor Hall a singer; lyricist and guitarist; is originally from Hilton Head; So... ~http 
neutral	3	2376658	Roger Adams FundÂ» Blog Archive Â» Microsoft windows VPS Â The ... ~http 
neutral	3	803051	New Mexico and Las Vegas News In Brief | LasVegasOptic.com: Las Vegas police Chief Christian Montaño said ... ~http
negative	3	1940232	ARGH! Was sold a counterfeit Nintendo DS game on ebay. Seriously shoddy imitation too. Reported to nintendo and OFT
neutral	3	1659387	Lady gaga to record bond song? ~http 
neutral	3	1527271	so who is ur favorite singer (@godsgirl8494 live on ~http )
neutral	3	2062610	From the new CNN.com: Casey Anthony's secret release #cnn ~http 
neutral	3	2295149	Certify Dumps 70-685 study materials simulate real exam environment. Microsoft 70-685 test questions ~http 
neutral	3	3083728	Why isn't there a Nintendo theme park? If I could; I would build one myself.
positive	3	63007	Thanks RBC!  RBC Heritage in Hilton Head fully sponsored through 2016.
negative	3	363448	Hate my samsung galaxy fone with all ny heart.
positive	3	1133905	HAD FUN LAST NITE AT HOOKAH; VOILA AND BOURBON! DANCED MY FEET OFF THO!
neutral	3	2378083	Check Out: #3: Super Paper Mario (Nintendo Selects): Super Paper Mario (Nintendo Selects) by Nintendo Platform:... ~http 
negative	3	2750671	Oy tommm you fucked my bike
neutral	3	508561	different looks and attitudes but still the same you
neutral	3	650899	HUMAN 2.0 DIGITAL RELEASE JUNE 15. ~http 
neutral	3	155068	New blog post: ~http  - Microsoft Partner Readiness Schedule is LIVE
positive	3	1559659	Best Pre-Event Prayer Ever - Bing Videos: ~http  via @user
negative	3	756792	#BET jokes don't do it for me anymore. RT @user @user you sir don't know shit about comedy
neutral	3	911715	Bolibol.in- Maha Loot Sony 2GB MP3 Play; MRP- Rs. 4;990.00; now available on bolibol for you. Bid now & you can win it for absolutely free
neutral	3	89498	Twitter and Bing renew their relationship for real-time search ~http   via @user @user
neutral	3	2295110	Certify Dumps Microsoft 70-667 Exam Questions are updated regularly ~http 
positive	3	475113	Last day working at a mall couldn't be happier! :)
positive	3	3131944	Boonaa Mohammed! I got stuck in the Sony Elevator with that guy. He's obviously done well for himself.
neutral	3	1417618	Thoughts | Kashif Malim ~http  via @user
neutral	3	1055262	Zumba Fitness for Nintendo Wii! Join the Fitness Dancing PARTY! #Win @user ~http  #GIVEAWAY
neutral	3	322804	Dear Members;  This coming Saturday the 10th of September; we will be watching the Bolton game together.This will... ~http
neutral	3	934743	Win an Alpha & Omega Nintendo DS Game: ~http 
neutral	3	3045034	Fresh on nike shoes: What blush should your alliance hat be_067
neutral	3	2477161	How to Recover Deleted Photos from Samsung Digital Camera?--Memory Card Data Recovery to recover pictures from SD card ~http 
neutral	3	2644187	What the heck is Microsoft doing? | Articles ~http 
neutral	3	2319741	Just wondering....what if we could get Microsoft and Best Buy together? #retail
neutral	3	1713992	#GagaFacts She went to a all girls Catholic school; Convent of the Sacred Heart (the same school Paris Hilton went to)
neutral	3	2481117	Social media gossip makes privacy laws unsustainable; says Cameron | News | New Media Age: ~http  via @user
neutral	3	2636786	The heart was willing but the body was weak. ARGH... the sun!
negative	3	2750802	I'm definitely not gonna be relying on Microsoft word for spelling; anymore. How the hell is "unidentical" not a bloody word? o_0
neutral	3	288307	Hey eveyone check out Microsoft DreamSpark;a site ran by Microsoft where you can download professional tools and... ~http 
neutral	3	1786811	"How to Spend Less and Have a Great Time                            In Dubai?" ~http 
negative	3	1817646	“@mynichols: Why is it so ding dang hot in this church?! UGH!!!!”  Did I do it? :-)
negative	3	1964583	GD didn't look good arriving from their NZ trip... I hope he is okay...
neutral	3	388647	News: PlayStation Network outage: Sony investigating credit card security - ComputerAndVideoGames... ~http 
positive	3	1283694	Argh!! Chance has a new Audi convertible! Scored a ride home tonight LOL xD
neutral	3	2296656	Surreal-Playboy NYE 2011: Playboy New Year’s Eve Party at The Hilton Chicago Downtown Hotel Ft T-Pain; Jump... ~http 
neutral	3	902915	Camera SONY ALPHA DSLR-A700 DIGITAL CAMERA+8GB KIT NEW Price: $320 USD Online Order: ~http 
neutral	3	1587978	Interesting: Apple is globally nr.1; Google is nr.2; and Microsoft only nr.5? ~http  via @user
positive	3	3521121	Your gucci match my pradas a good look ;)
neutral	3	88937	Here's Dominic McDowell's 9th video for his Microsoft Windows Canada DOorDIE competition. Think it's awesome?... ~http
neutral	3	2988911	Sex In Crazy Places- Gucci Mane. Aint gone lie dhats my song
neutral	3	2663725	Selling a 59' Samsung 3D TV. W/ 4 3D glasses; tilt wall mount; all Shrek movies in 3D; calibrated; n 4 yr warranty ~http 
positive	3	2582727	Praying for fuel tonight. Figure that if God can use a donkey; he can use a girl like me!!! So pumped!
positive	3	1185087	It's amazing what make up and a hair straighner can do to a girl. (;
neutral	3	2001121	2nd MANCOPIAN DECREE: The word "money" will be banished & will be written as $.
negative	3	2675489	I wish today it will rain all day maybe that will kinda make the pain go away..
neutral	3	2111202	Even more designs made....  Audi A8 (11-  ) Head & Tail Audi A7 (12-  ) Head & Tail        Audi Q7 (09-  ) Head;... ~http 
neutral	3	1372408	Bro I'm gonna buy me a nike head band #swag.
positive	3	344149	Miner #2 on his way back to life. :D
neutral	3	1766137	#LeBronHairLineThemeSong....Upside Down---Diana Ross :)
neutral	3	2329789	Camcorder Redefined: Sony Debuts World's First Consumer Interchangeable Lens HD Camcorder ~http
neutral	3	1508430	How do u get rid of wasp nests???
neutral	3	768193	More DioR honeY shotS Gucci MartiniS;) LVB styLe!  ~http 
positive	3	385537	I just got up to 13;752 in #DoodleJump!!! Beat that! ~http 
positive	3	1935043	Rules of Attraction quite possibly one of the best romance novels i have ever read. i would definitely recommend it!
negative	3	1364749	I swear I hate this time of the month! So inconvenient -____-
neutral	3	1882499	Tweet tweet
neutral	3	2307999	"@AkiAnastasiou: Samsung Is Only Tablet Maker Giving iPad 2s Display a Run for Its Money ~http  They know iPad's secret
positive	3	661138	Thanks for the retweet; man! @user
positive	3	90077	Hope everyone is having a great day today! It's hot here in Atlanta! Will be posting some new Microsoft job opportunities later today!
neutral	3	3045055	Fresh on nike shoes: Latest Racing Hats auctions
neutral	3	3496563	The New York Times: DealBook: Microsoft in Talks to Acquire Skype for $8.5 Billion ~http  ~http 
neutral	3	2366977	REVIEW: Samsung ML-2525W ~http 
neutral	3	1804085	SMS Marketing: How to Harvest Your Customers' Mobile Details: by Bill Hilton SMS marketing is a huge growth area... ~http
neutral	3	2665044	I know i didn't see you RT @user I didn't see @user any where at school?
neutral	3	2213044	"how to grab extra income"  ~http  @user @user @user
negative	3	2473564	worried about a possible gum infection.
neutral	3	603677	eating PF CHANGS
neutral	3	2212844	Cloud Computing; Online Services and Hosting | Microsoft Cloud UK - Mozilla Firefox ~http 
neutral	3	3172332	NVIDIA and @user are giving away a free Samsung Tab 10.1 Honeycomb tablet ~http  I'm gonna win it.  Sorry.
neutral	3	616010	Celebrate Bing Mobile Deals and Win a $500 Gift Card! ~http  via @user
negative	3	2548725	Migraines suck. #migrainessuck
neutral	3	2296657	Surreal-Playboy NYE 2011: Playboy New Year’s Eve Party at The Hilton Chicago Downtown Hotel Ft T-Pain; Jump... ~http
neutral	3	774970	Navapashanam is ancient asecret Ayurvedic herbal formula.at our next meetup ~http 
positive	3	1929980	My heart skip- skips a beat. Loving that new Olly Murs tune :)
neutral	3	157018	Episode 18: Microsoft Tag with Sandeep Gopal Nair ~http
neutral	3	3045040	Fresh on nike shoes: 's set in {individual;1} style046
neutral	3	2208290	Twitter Bet of the day : man united to lose 3:1 to Barca again.
neutral	3	1725052	#pickone get kissed by Infinite's Lee Sungjong or SHINee's Lee Taemin
neutral	3	713510	Baby girl gotta have swag and I aint talkin bwt gucci or LV bags....
neutral	3	894613	free realms news Touch Screen Battle – LG Arena Vs Samsung Pixon – LG KM900 Or … ~http  :O
negative	3	3070948	Coach SOBAY is pissed that he gave up a night at the dive bars to be at the game this morning; only to have Sony screw him again.
neutral	3	3542067	gucci gucci still trending? well damn
neutral	3	1372706	People are curious why old children in Retiro Parc play with blue balls #intocon
neutral	3	833438	I just bought a Crowbar in #MobsterWorld ~http 
neutral	3	947662	she saw the cake & put on her birthday suit..
neutral	3	1170505	Going to VIDEO BRANDING TOOLS & MARKETING ... at Hilton Garden Inn Sacramento/South ... on Thu; Aug 5 ~http 
neutral	3	2351610	they got one pair of nike socks
neutral	3	792735	[Singles] G4 Boyz &amp; Fred the Godson - &quot;Everything Gucci Rmx&quot; ~http 
neutral	3	2469865	Check this video out -- Kylie - Flower (Unreleased X2008 Video Projection) ~http  via @user
neutral	3	109183	Read new whitepaper "Partner's Guide to Microsoft System Center" (login required): ~http 
negative	3	229674	I really hate the fact that I let my emotions get the best of me
positive	3	2134707	fuck yeah!; Austin TX with Ashley on Monday!. staying for a day or two at the hilton hotel!
